order,section,capability,method,status,sources,last_reviewed,notes
"227","Quadratic forms over $\mathbf{Z}$","Quadratic form local neighbors","find_p_neighbor_from_vec","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_find_p_neighbor_from_vec_preserves_discriminant","2026-02-15","isotropic-mod-p seed construction semantics for p-neighbor added"
"228","Quadratic forms over $\mathbf{Z}$","Quadratic form local neighbors","neighbor_iteration","done","sage_doc/test_quadraticform_static.py::test_quadraticform_neighbor_iteration_returns_seed_under_class_limit","2026-02-15","iterative p-neighbor graph traversal semantics added"
"229","Quadratic forms over $\mathbf{Z}$","Quadratic form local neighbors","find_primitive_p_divisible_vector__random","done","sage_doc/test_quadraticform_static.py::test_quadraticform_find_primitive_p_divisible_vector_random_is_p_divisible","2026-02-15","random primitive p-divisible/congruence vector search semantics added"
"230","Quadratic forms over $\mathbf{Z}$","Quadratic form local neighbors","find_primitive_p_divisible_vector__next","done","sage_doc/test_quadraticform_static.py::test_quadraticform_find_primitive_p_divisible_vector_next_returns_candidate","2026-02-15","deterministic next-candidate primitive p-divisible search semantics added"
"231","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","reduced_form","done","sage_doc/test_binaryqf_static.py::test_binaryqf_reduced_form_preserves_discriminant","2026-02-15","Gauss-reduced representative semantics added"
"232","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","is_reduced","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_reduced_on_simple_posdef_example","2026-02-15","Gauss reduction-condition predicate semantics added"
"233","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","reduced_binary_form","done","sage_doc/test_quadraticform_static.py::test_quadraticform_reduced_binary_form_preserves_discriminant","2026-02-15","binary reduction output semantics (repr + transform data) clarified"
"234","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","reduced_binary_form1","done","sage_doc/test_quadraticform_static.py::test_quadraticform_reduced_binary_form1_on_binary_input_preserves_discriminant","2026-02-15","binary reduction variant semantics added"
"235","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","reduced_ternary_form__Dickson","done","sage_doc/test_quadraticform_static.py::test_quadraticform_reduced_ternary_form_Dickson_notimplemented_here","2026-02-15","Dickson ternary-reduction semantics with conditional availability noted"
"236","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","reduced_form_eisenstein","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_reduced_form_eisenstein_preserves_discriminant","2026-02-15","Eisenstein-reduced representative semantics added"
"237","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","is_eisenstein_reduced","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_is_eisenstein_reduced_returns_boolean","2026-02-15","Eisenstein reduction-condition predicate semantics added"
"238","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","minkowski_reduction","done","sage_doc/test_quadraticform_static.py::test_quadraticform_minkowski_reduction_preserves_discriminant","2026-02-15","Minkowski-reduction equivalent form semantics added"
"239","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","minkowski_reduction_for_4vars__SP","done","sage_doc/test_quadraticform_static.py::test_quadraticform_minkowski_reduction_for_4vars_sp_preserves_discriminant","2026-02-15","Schiemann-Pohst quaternary Minkowski-reduction semantics added"
"240","Quadratic forms over $\mathbf{Z}$","Quadratic form reductions","local_normal_form","done","sage_doc/test_quadraticform_static.py::test_quadraticform_local_normal_form_preserves_discriminant_at_two","2026-02-15","p-adic local normal/Jordan form semantics added"
"241","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","swap_variables","done","sage_doc/test_quadraticform_static.py::test_quadraticform_swap_variables_preserves_discriminant","2026-02-15","coordinate-permutation transform semantics added"
"242","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","multiply_variable","done","sage_doc/test_quadraticform_static.py::test_quadraticform_multiply_variable_by_zero_forces_zero_coefficient","2026-02-15",""
"243","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","divide_variable","done","sage_doc/test_quadraticform_static.py::test_quadraticform_divide_variable_by_one_is_identity","2026-02-15",""
"244","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","extract_variables","done","sage_doc/test_quadraticform_static.py::test_quadraticform_extract_variables_dimension_matches_selection","2026-02-15",""
"245","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","elementary_substitution","done","sage_doc/test_quadraticform_static.py::test_quadraticform_elementary_substitution_preserves_dimension","2026-02-15",""
"246","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","add_symmetric","done","sage_doc/test_quadraticform_static.py::test_quadraticform_add_symmetric_changes_selected_coefficients","2026-02-15",""
"247","Quadratic forms over $\mathbf{Z}$","Quadratic form variable transformations","complementary_subform_to_vector","done","sage_doc/test_quadraticform_static.py::test_quadraticform_complementary_subform_reduces_dimension_by_one","2026-02-15",""
"248","Quadratic forms over $\mathbf{Z}$","Quadratic-form bilinearization map","bilinear_map","done","sage_doc/test_quadraticform_static.py::test_quadraticform_bilinear_map_polarization_identity","2026-02-15",""
"249","Quadratic forms over $\mathbf{Z}$","Quadratic-form Cholesky algorithm","cholesky_decomposition","done","sage_doc/test_quadraticform_static.py::test_quadraticform_cholesky_decomposition_reconstructs_matrix","2026-02-15",""
"250","Quadratic forms over $\mathbf{Z}$","Quadratic form theta series","theta_series","done","sage_doc/test_quadraticform_static.py::test_quadraticform_theta_series_leading_coefficient_one","2026-02-15",""
"251","Quadratic forms over $\mathbf{Z}$","Quadratic form theta series","theta_series_degree_2","done","sage_doc/test_quadraticform_static.py::test_quadraticform_theta_series_degree_2_has_constant_term_one","2026-02-15",""
"252","Quadratic forms over $\mathbf{Z}$","Quadratic form theta series","theta_by_cholesky","done","sage_doc/test_quadraticform_static.py::test_quadraticform_theta_by_cholesky_starts_with_one_constant_term","2026-02-15",""
"253","Quadratic forms over $\mathbf{Z}$","Quadratic form theta series","theta_by_pari","done","sage_doc/test_quadraticform_static.py::test_quadraticform_theta_by_pari_starts_with_one_constant_term","2026-02-15",""
"254","Quadratic forms over $\mathbf{Z}$","Quadratic form representations enumeration","representation_number_list","done","sage_doc/test_quadraticform_static.py::test_quadraticform_representation_number_list_constant_term_one","2026-02-15",""
"255","Quadratic forms over $\mathbf{Z}$","Quadratic form representations enumeration","representation_vector_list","done","sage_doc/test_quadraticform_static.py::test_quadraticform_representation_vector_list_contains_zero_vector_for_zero","2026-02-15",""
"256","Quadratic forms over $\mathbf{Z}$","Quadratic form automorphism count/state","number_of_automorphisms","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_number_of_automorphisms_matches_list_size","2026-02-15",""
"257","Quadratic forms over $\mathbf{Z}$","Quadratic form automorphism count/state","set_number_of_automorphisms","done","sage_doc/test_quadraticform_static.py::test_quadraticform_set_number_of_automorphisms_updates_cached_value","2026-02-15",""
"258","Quadratic forms over $\mathbf{Z}$","Quadratic form Clifford invariants","clifford_conductor","done","sage_doc/test_quadraticform_static.py::test_quadraticform_clifford_conductor_positive","2026-02-15",""
"259","Quadratic forms over $\mathbf{Z}$","Quadratic form Clifford invariants","clifford_invariant","done","sage_doc/test_quadraticform_static.py::test_quadraticform_clifford_invariant_is_hilbert_symbol_value","2026-02-15",""
"260","Quadratic forms over $\mathbf{Z}$","Quadratic form adjoint family","adjoint","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_adjoint_is_ternary_form","2026-02-15",""
"261","Quadratic forms over $\mathbf{Z}$","Quadratic form adjoint family","adjoint_primitive","done","sage_doc/test_quadraticform_static.py::test_quadraticform_adjoint_primitive_is_primitive","2026-02-15",""
"262","Quadratic forms over $\mathbf{Z}$","Quadratic form adjoint family","adjoint_classical","done","sage_doc/test_matrix_methods_static.py::test_matrix_adjoint_classical_times_matrix_equals_det_identity","2026-02-15",""
"263","Quadratic forms over $\mathbf{Z}$","Quadratic form adjoint family","adjugate","done","sage_doc/test_matrix_methods_static.py::test_matrix_adjugate_equals_adjoint_classical","2026-02-15",""
"264","Quadratic forms over $\mathbf{Z}$","Quadratic form adjoint family","antiadjoint","done","sage_doc/test_quadraticform_static.py::test_quadraticform_antiadjoint_inverts_adjoint","2026-02-15",""
"265","Quadratic forms over $\mathbf{Z}$","Quadratic form adjoint family","is_adjoint","done","sage_doc/test_quadraticform_static.py::test_quadraticform_is_adjoint_true_on_adjoint_form","2026-02-15",""
"266","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","delta","done","sage_doc/test_quadraticform_static.py::test_quadraticform_delta_equals_disc_for_odd_dimension","2026-02-15",""
"267","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","omega","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_omega_positive","2026-02-15",""
"268","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","xi","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_xi_invalid_character_raises_value_error","2026-02-15",""
"269","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","xi_rec","done","sage_doc/test_quadraticform_static.py::test_quadraticform_xi_rec_defined_for_prime_three","2026-02-15",""
"270","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","reciprocal","done","sage_doc/test_quadraticform_static.py::test_quadraticform_reciprocal_is_same_dimension","2026-02-15",""
"271","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","reciprocal_reduced","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_reciprocal_reduced_preserves_discriminant","2026-02-15",""
"272","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","symmetry","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_symmetry_matrix_has_determinant_minus_one","2026-02-15",""
"273","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","form_class","done","sage_doc/test_binaryqf_static.py::test_binaryqf_form_class_preserves_discriminant","2026-02-15",""
"274","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","principal","done","sage_doc/test_binaryqf_static.py::test_binaryqf_principal_has_requested_discriminant","2026-02-15",""
"275","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","small_prime_value","done","sage_doc/test_binaryqf_static.py::test_binaryqf_small_prime_value_is_represented","2026-02-15",""
"276","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","complex_point","done","sage_doc/test_binaryqf_static.py::test_binaryqf_complex_point_is_root_of_specialization","2026-02-15",""
"277","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","cycle","done","sage_doc/test_binaryqf_static.py::test_binaryqf_cycle_contains_equivalent_forms","2026-02-15",""
"278","Quadratic forms over $\mathbf{Z}$","Classical quadratic-form invariants and class data","solve_integer","done","sage_doc/test_binaryqf_static.py::test_binaryqf_solve_integer_returns_exact_representation","2026-02-15",""
"279","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","collect_small_blocks","done","sage_doc/test_quadraticform_static.py::test_quadraticform_collect_small_blocks_recovers_block_structure","2026-02-15",""
"280","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","jordan_blocks_by_scale_and_unimodular","done","sage_doc/test_quadraticform_static.py::test_quadraticform_jordan_blocks_by_scale_and_unimodular_nonempty","2026-02-15",""
"281","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","jordan_blocks_in_unimodular_list_by_scale_power","done","sage_doc/test_quadraticform_static.py::test_quadraticform_jordan_blocks_unimodular_list_nonempty","2026-02-15",""
"282","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","has_equivalent_Jordan_decomposition_at_prime","done","sage_doc/test_quadraticform_static.py::test_quadraticform_has_equivalent_jordan_decomposition_at_prime_detects_change","2026-02-15",""
"283","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","find_entry_with_minimal_scale_at_prime","done","sage_doc/test_quadraticform_static.py::test_quadraticform_find_entry_with_minimal_scale_returns_valid_index_pair","2026-02-15",""
"284","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_all_local_good_types_normal_form","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_all_local_good_types_normal_form_matches_reference_values","2026-02-15",""
"285","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_solution_decomposition_at_basic_input","2026-02-15",""
"286","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions__bad_type","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_bad_type_splits_I_II","2026-02-15",""
"287","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions_as_vector","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_solutions_as_vector_length_six","2026-02-15",""
"288","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_modp_solutions__by_Gauss_sum","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_modp_solutions_by_gauss_sum_raises_on_singular_case","2026-02-15",""
"289","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions__bad_type_I","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_type_I_zero_on_basic_input","2026-02-15",""
"290","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions__bad_type_II","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_type_II_zero_on_basic_input","2026-02-15",""
"291","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions__good_type","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_good_type_zero_on_basic_input","2026-02-15",""
"292","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","count_congruence_solutions__zero_type","done","sage_doc/test_quadraticform_static.py::test_quadraticform_count_congruence_zero_type_zero_on_basic_input","2026-02-15",""
"293","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","conway_cross_product_doubled_power","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_cross_product_doubled_power_nonnegative","2026-02-15",""
"294","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","conway_diagonal_factor","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_diagonal_factor_positive","2026-02-15",""
"295","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","conway_octane_of_this_unimodular_Jordan_block_at_2","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_octane_requires_odd_unimodular_block","2026-02-15",""
"296","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","conway_species_list_at_2","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_species_lists_have_expected_lengths","2026-02-15",""
"297","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","conway_species_list_at_odd_prime","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_species_list_at_odd_prime_length_two","2026-02-15",""
"298","Quadratic forms over $\mathbf{Z}$","Jordan/genus block combinatorics","conway_type_factor","done","sage_doc/test_quadraticform_static.py::test_quadraticform_conway_type_factor_positive_integer","2026-02-15",""
"299","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","solve","done","sage_doc/test_quadraticform_static.py::test_quadraticform_solve_over_qq_returns_exact_value","2026-02-15",""
"300","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","sum_by_coefficients_with","done","sage_doc/test_quadraticform_static.py::test_quadraticform_sum_by_coefficients_with_adds_forms","2026-02-15",""
"301","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","discrec","done","sage_doc/test_quadraticform_static.py::test_quadraticform_discrec_positive_for_positive_definite_example","2026-02-15",""
"302","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","basiclemma","done","sage_doc/test_quadraticform_static.py::test_quadraticform_basiclemma_zero_case_returns_zero","2026-02-15",""
"303","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","basiclemmavec","done","sage_doc/test_quadraticform_static.py::test_quadraticform_basiclemmavec_has_expected_dimension","2026-02-15",""
"304","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","basic_lemma","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_basic_lemma_returns_modular_class","2026-02-15",""
"305","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","orbits_lines_mod_p","done","sage_doc/test_quadraticform_static.py::test_quadraticform_orbits_lines_mod_p_nonempty","2026-02-15",""
"306","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","find_zeros_mod_p","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_find_zeros_mod_p_returns_zero_values","2026-02-15",""
"307","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","pseudorandom_primitive_zero_mod_p","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_pseudorandom_zero_is_indeed_zero_mod_p","2026-02-15",""
"308","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","split_local_cover","done","sage_doc/test_quadraticform_static.py::test_quadraticform_split_local_cover_preserves_discriminant","2026-02-15",""
"309","Quadratic forms over $\mathbf{Z}$","Quadratic form solver and transformations","list_external_initializations","done","sage_doc/test_quadraticform_static.py::test_quadraticform_list_external_initializations_empty_for_internal_example","2026-02-15",""
"310","Quadratic forms over $\mathbf{Z}$","Binary quadratic form reducibility predicates","is_reducible","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_reducible_false_for_primitive_nonsquare_discriminant","2026-02-15",""
"311","Quadratic forms over $\mathbf{Z}$","Binary quadratic form reducibility predicates","is_weakly_reduced","done","sage_doc/test_binaryqf_static.py::test_binaryqf_is_weakly_reduced_true_for_simple_reduced_form","2026-02-15",""
"312","Quadratic forms over $\mathbf{Z}$","Binary quadratic form linear-change actions","matrix_action_left","done","sage_doc/test_binaryqf_static.py::test_binaryqf_matrix_action_left_identity_fixes_form","2026-02-15",""
"313","Quadratic forms over $\mathbf{Z}$","Binary quadratic form linear-change actions","matrix_action_right","done","sage_doc/test_binaryqf_static.py::test_binaryqf_matrix_action_right_identity_fixes_form","2026-02-15",""
"314","Quadratic forms over $\mathbf{Z}$","Ternary-to-QuadraticForm equivalence map","quadratic_form","done","sage_doc/test_ternaryqf_static.py::test_ternaryqf_quadratic_form_conversion_preserves_values","2026-02-15",""
"315","Quadratic forms over $\mathbf{Z}$","Quadratic-form discriminant invariants","det","done","sage_doc/test_quadraticform_static.py::test_quadraticform_discriminant_equals_gram_det","2026-02-15","recategorized: quadratic-form Hessian determinant method"
"316","Indefinite lattices and genera","Genus object and representatives","determinant","done","sage_doc/test_genus_static.py::test_genus_determinant_matches_input_gram_det","2026-02-15","recategorized: genus representative determinant invariant"
"317","Quadratic forms over $\mathbf{Z}$","Quadratic-form discriminant invariants","Gram_det","done","sage_doc/test_quadraticform_static.py::test_quadraticform_Gram_det_scales_det_by_power_of_two","2026-02-15","recategorized: quadratic-form Gram determinant method"
"318","Matrix algorithms","Determinant invariant","qdet","done","sage_doc/test_matrix_methods_static.py::test_matrix_qdet_specializes_to_determinant_for_commutative_ring","2026-02-15",""
"319","Matrix algorithms","Matrix kernel/nullity algorithms","kernel","done","sage_doc/test_matrix_methods_static.py::test_matrix_kernel_rank_zero_for_invertible_over_Q","2026-02-15",""
"320","Matrix algorithms","Matrix kernel/nullity algorithms","left_kernel","done","sage_doc/test_matrix_methods_static.py::test_matrix_left_kernel_rank_zero","2026-02-15",""
"321","Matrix algorithms","Matrix kernel/nullity algorithms","right_kernel","done","sage_doc/test_matrix_methods_static.py::test_matrix_right_kernel_rank_zero","2026-02-15",""
"322","Matrix algorithms","Matrix kernel/nullity algorithms","integer_kernel","done","sage_doc/test_matrix_methods_static.py::test_matrix_integer_kernel_dimension_matches_nullity","2026-02-15",""
"323","Matrix algorithms","Matrix kernel/nullity algorithms","left_kernel_matrix","done","sage_doc/test_matrix_methods_static.py::test_matrix_left_kernel_matrix_row_count_equals_left_nullity","2026-02-15",""
"324","Matrix algorithms","Matrix kernel/nullity algorithms","right_kernel_matrix","done","sage_doc/test_matrix_methods_static.py::test_matrix_right_kernel_matrix_row_count_equals_right_nullity","2026-02-15",""
"325","Matrix algorithms","Matrix kernel/nullity algorithms","left_nullity","done","sage_doc/test_matrix_methods_static.py::test_matrix_left_nullity_matches_left_kernel_rank","2026-02-15",""
"326","Matrix algorithms","Matrix kernel/nullity algorithms","right_nullity","done","sage_doc/test_matrix_methods_static.py::test_matrix_right_nullity_matches_right_kernel_rank","2026-02-15",""
"327","Matrix algorithms","Matrix row-reduction algorithms","echelon_form","done","sage_doc/test_matrix_methods_static.py::test_matrix_echelon_form_preserves_rank","2026-02-15",""
"328","Matrix algorithms","Matrix row-reduction algorithms","echelonize","done","sage_doc/test_matrix_methods_static.py::test_matrix_echelonize_mutates_to_echelon_form","2026-02-15",""
"329","Matrix algorithms","Matrix row-reduction algorithms","rref","done","sage_doc/test_matrix_methods_static.py::test_matrix_rref_is_identity_for_invertible_over_Q","2026-02-15",""
"330","Matrix algorithms","Matrix row-reduction algorithms","extended_echelon_form","done","sage_doc/test_matrix_methods_static.py::test_matrix_extended_echelon_form_preserves_rank","2026-02-15",""
"331","Matrix algorithms","Matrix row-reduction algorithms","pivot_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_pivot_rows_length_equals_rank","2026-02-15",""
"332","Matrix algorithms","Matrix row-reduction algorithms","pivots","done","sage_doc/test_matrix_methods_static.py::test_matrix_pivots_length_equals_rank","2026-02-15",""
"333","Matrix algorithms","Matrix eigen/spectral algorithms","eigenvalues","done","sage_doc/test_matrix_methods_static.py::test_matrix_eigenvalues_sum_equals_trace","2026-02-15",""
"334","Matrix algorithms","Matrix eigen/spectral algorithms","eigenvectors_right","done","sage_doc/test_matrix_methods_static.py::test_matrix_eigenvectors_right_contains_eigenvalue_three","2026-02-15",""
"335","Matrix algorithms","Matrix eigen/spectral algorithms","eigenvectors_left","done","sage_doc/test_matrix_methods_static.py::test_matrix_eigenvectors_left_contains_eigenvalue_one","2026-02-15",""
"336","Matrix algorithms","Matrix eigen/spectral algorithms","eigenmatrix_right","done","sage_doc/test_matrix_methods_static.py::test_matrix_eigenmatrix_right_diagonalizes_symmetric_example","2026-02-15",""
"337","Matrix algorithms","Matrix eigen/spectral algorithms","eigenspaces_right","done","sage_doc/test_matrix_methods_static.py::test_matrix_eigenspaces_right_dimensions_sum_to_size","2026-02-15",""
"338","Matrix algorithms","Matrix eigen/spectral algorithms","eigenvalue_multiplicity","done","sage_doc/test_matrix_methods_static.py::test_matrix_eigenvalue_multiplicity_for_distinct_eigenvalue_is_one","2026-02-15",""
"339","Matrix algorithms","Matrix eigen/spectral algorithms","characteristic_polynomial","done","sage_doc/test_matrix_methods_static.py::test_matrix_characteristic_polynomial_has_expected_roots","2026-02-15",""
"340","Matrix algorithms","Matrix eigen/spectral algorithms","charpoly","done","sage_doc/test_matrix_methods_static.py::test_matrix_charpoly_matches_characteristic_polynomial","2026-02-15",""
"341","Matrix algorithms","Matrix eigen/spectral algorithms","minimal_polynomial","done","sage_doc/test_matrix_methods_static.py::test_matrix_minimal_polynomial_divides_characteristic_polynomial","2026-02-15",""
"342","Matrix algorithms","Matrix eigen/spectral algorithms","minpoly","done","sage_doc/test_matrix_methods_static.py::test_matrix_minpoly_matches_minimal_polynomial","2026-02-15",""
"343","Matrix algorithms","Matrix eigen/spectral algorithms","hessenberg_form","done","sage_doc/test_matrix_methods_static.py::test_matrix_hessenberg_form_preserves_characteristic_polynomial","2026-02-15",""
"344","Matrix algorithms","Matrix eigen/spectral algorithms","frobenius_form","done","sage_doc/test_matrix_methods_static.py::test_matrix_frobenius_form_preserves_characteristic_polynomial","2026-02-15",""
"345","Matrix algorithms","Matrix eigen/spectral algorithms","singular_values","done","sage_doc/test_matrix_methods_static.py::test_matrix_singular_values_count_equals_min_dimension","2026-02-15",""
"346","Matrix algorithms","Matrix decomposition algorithms","LU","done","sage_doc/test_matrix_methods_static.py::test_matrix_lu_reconstructs_original_matrix","2026-02-15",""
"347","Matrix algorithms","Matrix decomposition algorithms","cholesky","done","sage_doc/test_matrix_methods_static.py::test_matrix_cholesky_reconstructs_positive_definite_matrix","2026-02-15",""
"348","Matrix algorithms","Matrix decomposition algorithms","gram_schmidt","done","sage_doc/test_matrix_methods_static.py::test_matrix_gram_schmidt_returns_two_orthogonal_vectors","2026-02-15",""
"349","Matrix algorithms","Matrix decomposition algorithms","decomposition","done","sage_doc/test_matrix_methods_static.py::test_matrix_decomposition_direct_sum_dimensions_match","2026-02-15",""
"350","Matrix algorithms","Matrix inversion/unit predicates","inverse","done","sage_doc/test_matrix_methods_static.py::test_matrix_inverse_is_rational_inverse","2026-02-15",""
"351","Matrix algorithms","Matrix inversion/unit predicates","inverse_of_unit","done","sage_doc/test_matrix_methods_static.py::test_matrix_inverse_of_unit_identity_fixed","2026-02-15",""
"352","Matrix algorithms","Matrix inversion/unit predicates","is_invertible","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_invertible_matches_unit_condition_over_ZZ","2026-02-15",""
"353","Matrix algorithms","Matrix inversion/unit predicates","is_unit","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_unit_true_exactly_for_identity_over_ZZ","2026-02-15",""
"354","Matrix algorithms","Matrix inversion/unit predicates","is_one","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_one_true_for_identity","2026-02-15",""
"355","Matrix algorithms","Matrix space predicates","is_square","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_square_true_for_two_by_two","2026-02-15",""
"356","Matrix algorithms","Matrix space predicates","is_symmetric","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_symmetric_true_for_symmetric_input","2026-02-15",""
"357","Matrix algorithms","Matrix space predicates","is_diagonal","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_diagonal_false_for_off_diagonal_nonzero","2026-02-15",""
"358","Matrix algorithms","Matrix space predicates","is_dense","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_dense_true_for_dense_constructor","2026-02-15",""
"359","Matrix algorithms","Matrix space predicates","is_sparse","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_sparse_false_for_dense_constructor","2026-02-15",""
"360","Matrix algorithms","Matrix space predicates","is_hermitian","done","sage_doc/test_matrix_methods_static.py::test_matrix_is_hermitian_true_for_symmetric_integer_matrix","2026-02-15",""
"361","Matrix algorithms","Matrix spaces and images","column_space","done","sage_doc/test_matrix_methods_static.py::test_matrix_column_space_dimension_equals_rank","2026-02-15",""
"362","Matrix algorithms","Matrix spaces and images","row_space","done","sage_doc/test_matrix_methods_static.py::test_matrix_row_space_dimension_equals_rank","2026-02-15",""
"363","Matrix algorithms","Matrix spaces and images","image","done","sage_doc/test_matrix_methods_static.py::test_matrix_image_dimension_equals_rank","2026-02-15",""
"364","Matrix algorithms","Matrix spaces and images","matrix_space","done","sage_doc/test_matrix_methods_static.py::test_matrix_space_dimensions_match_parent_shape","2026-02-15",""
"365","Matrix algorithms","Matrix spaces and images","matrix_over_field","done","sage_doc/test_matrix_methods_static.py::test_matrix_over_field_changes_base_ring_to_fraction_field","2026-02-15",""
"366","Matrix algorithms","Matrix mutation operations","swap_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_swap_rows_changes_row_order_in_place","2026-02-15",""
"367","Matrix algorithms","Matrix mutation operations","swap_columns","done","sage_doc/test_matrix_methods_static.py::test_matrix_swap_columns_changes_column_order_in_place","2026-02-15",""
"368","Matrix algorithms","Matrix mutation operations","with_swapped_rows","done","sage_doc/test_matrix_methods_static.py::test_matrix_with_swapped_rows_returns_new_matrix_with_swapped_order","2026-02-15",""
